DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
71735,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68720,SANTA HELENA DEL OPON,68720000,CORREGIMIENTO DE CACHIPAY,EN OPERACI�N,"6,29722000","-73,65000000",2019-12-10,2021-09-09,2021-02-22,2021-12-31,520,"268,81",1,9,"27007800,00"
71342,RED DE INGENIERIA S.A.S.,804012847-1,23,CORDOBA,23419,LOS CORDOBAS,23419030,NUEVO NARI�O,EN OPERACI�N,"8,81556000","-76,29861000",2019-12-06,2021-09-05,2021-02-22,2021-12-31,893,"127,33",1,9,"27007800,00"
72401,EMTEL,891502163-1,81,ARAUCA,81794,TAME,81794002,FLOR AMARILLO,EN OPERACI�N,"6,52416700","-71,50250000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
71778,RED DE INGENIERIA S.A.S.,804012847-1,70,SUCRE,70713,SAN ONOFRE,70713005,CORREGIMIENTO LABARCE,EN OPERACI�N,"9,89722000","-75,57278000",2019-12-03,2021-09-02,2021-02-22,2021-12-31,230,"157,21",1,9,"27007800,00"
71378,RED DE INGENIERIA S.A.S.,804012847-1,25,CUNDINAMARCA,25148,CAPARRAPI,25148003,EL DINDAL - INSP SAN RAM�N ALTO,EN OPERACI�N,"5,50388000","-74,52588000",2019-12-17,2021-09-16,2021-02-22,2021-12-31,294,"105,23",1,9,"27007800,00"
71202,RED DE INGENIERIA S.A.S.,804012847-1,19,CAUCA,19355,INZA,19355000,CORREGIMIENTO GUANACAS,EN OPERACI�N,"2,62944000","-76,06888000",2020-03-30,2021-12-29,2021-02-22,2021-12-31,455,"187,85",1,9,"27007800,00"
71749,RED DE INGENIERIA S.A.S.,804012847-1,70,SUCRE,70215,COROZAL,70215009,HATO NUEVO,EN OPERACI�N,"9,17667000","-75,18917000",2019-12-31,2021-09-29,2021-02-22,2021-12-31,753,"298,21",1,9,"27007800,00"
71670,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68318,GUACA,68318000,VEREDA NUCUBUCA,EN OPERACI�N,"6,96750000","-72,79778000",2019-12-04,2021-09-03,2021-02-22,2021-12-31,124,"113,69",1,9,"27007800,00"
71451,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41244,ELIAS,41244002,ORITOGUAZ,EN OPERACI�N,"1,98694000","-76,01250000",2019-12-07,2021-09-06,2021-02-22,2021-12-31,227,"169,33",1,9,"27007800,00"
72006,RED DE INGENIERIA S.A.S.,804012847-1,20,CESAR,20032,ASTREA,20032000,VDA LA PUERTA,EN OPERACI�N,"9,57194444","-73,92638889",2019-12-09,2021-09-08,2021-02-22,2021-12-31,140,"64,52",1,9,"27007800,00"
71880,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73616,RIOBLANCO,73616000,VEREDA EL DIAMANTE,EN OPERACI�N,"3,66889000","-74,84778000",2019-12-03,2021-09-02,2021-02-22,2021-12-31,232,"164,75",1,9,"27007800,00"
71024,RED DE INGENIERIA S.A.S.,804012847-1,05,ANTIOQUIA,05250,EL BAGRE,5250005,EL REAL,EN OPERACI�N,"7,57833000","-74,77139000",2019-12-04,2021-09-03,2021-02-22,2021-12-31,60,"92,82",1,9,"27007800,00"
72511,EMTEL,891502163-1,23,CORDOBA,23001,MONTERIA,23001004,EL SABANAL,EN OPERACI�N,"8,77991100","-75,80455000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
71344,RED DE INGENIERIA S.A.S.,804012847-1,19,CAUCA,19110,BUENOS AIRES,19110000,VEREDA BRISAS DE MARILOPEZ,EN OPERACI�N,"3,08861000","-76,69861000",2020-08-02,1900-01-01,2021-02-22,2021-12-31,284,"258,63",1,9,"27007800,00"
72500,EMTEL,891502163-1,27,CHOCO,27150,CARMEN DEL DARIEN,27615000,LAS CAMELIAS,EN OPERACI�N,"7,29138900","-76,76750000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
71994,RED DE INGENIERIA S.A.S.,804012847-1,76,VALLE DEL CAUCA,76834,TULUA,76834022,TOCHECITO,EN OPERACI�N,"4,00778000","-76,10667000",2019-12-10,2021-09-09,2021-02-22,2021-12-31,243,"215,50",1,9,"27007800,00"
72606,EMTEL,891502163-1,99,VICHADA,99773,CUMARIBO,99773003,TRES MATAS,EN OPERACI�N,"4,49282000","-70,66915000",1900-01-01,1900-01-01,2021-02-22,2021-12-31,,,3,10,"99692140,00"
